date,state,county,bias_motivation,source,incident_id,offense_type,victim_type,bias_motivation_cleaned,incidents_corrected,city,description,latitude,longitude,verified,adl_category,raw_data,borough,collection_date,incident_count,state_name,data_type,month_year
06/14/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906112388617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/03/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906112480917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/11/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906112732317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/20/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906212354417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/01/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906312261717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/19/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906612340517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/25/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906612501117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/10/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906612572617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/20/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906712856617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/07/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907012369217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/31/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907112834917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/17/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907212157317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/28/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907212538417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/29/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907812113917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/27/2019,NY,KINGS,ANTI-JEWISH,NYPD,201907812572217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/08/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006012153917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/04/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006312172117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/26/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006612157417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/16/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006612384517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/21/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006612437417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/27/2020,NY,KINGS,ANTI-JEWISH,NYPD,202006812511217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/06/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012164217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/24/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012209917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/30/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012350017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/26/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012395917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/10/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012576017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/26/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007012887617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/22/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007212105317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/07/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007212185817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/18/2020,NY,KINGS,ANTI-JEWISH,NYPD,202007212674817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/20/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106012215417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/06/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106112663417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/07/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106212262717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/07/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106212715417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/22/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106312289717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/03/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106612112717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/23/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106612221117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/26/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106612617417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/20/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106812515417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/09/2021,NY,KINGS,ANTI-JEWISH,NYPD,202106812599317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/26/2021,NY,KINGS,ANTI-JEWISH,NYPD,202107012930817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/21/2021,NY,KINGS,ANTI-JEWISH,NYPD,202107812535917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/07/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206012204617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/08/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206012207017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/09/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206012210717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/24/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112240217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/31/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112254317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/24/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112304217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/29/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112312317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/23/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112366417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/29/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206112662417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/24/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206212775817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/12/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206612139117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/01/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206612616817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/14/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206612642317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/26/2022,NY,KINGS,ANTI-JEWISH,NYPD,202206612664617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/06/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012367817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/09/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012376217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/25/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012413417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
08/26/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012642417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/18/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012699217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/24/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012796917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/25/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012878317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/06/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207012905717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/17/2022,NY,KINGS,ANTI-JEWISH,NYPD,202207212434417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/02/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306012285217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/25/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306012342117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/01/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306012358417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/23/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306012418117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/23/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306012881217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/16/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306112174617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/19/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306112692417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/08/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306112738017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/04/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306212289117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/07/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306212841417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/19/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306212941117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/05/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306612079617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/26/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306612283717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/26/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306612408717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/28/2023,NY,KINGS,ANTI-JEWISH,NYPD,202306612634417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/09/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307012242117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/10/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307012245217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/27/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307012292917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/06/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307012806017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/19/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307112891917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/30/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307212744017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/10/2023,NY,KINGS,ANTI-JEWISH,NYPD,202307812640517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/29/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406012419617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/08/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406012780417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/15/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406012795717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/04/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112142817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/06/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112147517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/19/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112174317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/08/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112216517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/09/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112349017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/21/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112376717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/11/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112430717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/04/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112775817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
12/12/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406112870417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/13/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212401517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/23/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212431117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/31/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212452717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/03/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212460417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
07/30/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212616717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/27/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212770617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
10/15/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212812517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/20/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406212900517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/03/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612077517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/13/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612213017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/21/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612342617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/06/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612371517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/16/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612391017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/16/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612391217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/26/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406612581717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/25/2024,NY,KINGS,ANTI-JEWISH,NYPD,202406812342717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/03/2024,NY,KINGS,ANTI-JEWISH,NYPD,202407012467917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/18/2024,NY,KINGS,ANTI-JEWISH,NYPD,202407012930717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/13/2025,NY,KINGS,ANTI-JEWISH,NYPD,202506012176017,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/08/2025,NY,KINGS,ANTI-JEWISH,NYPD,202506112089917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/28/2025,NY,KINGS,ANTI-JEWISH,NYPD,202506112202917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/29/2025,NY,KINGS,ANTI-JEWISH,NYPD,202506112275417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/16/2025,NY,KINGS,ANTI-JEWISH,NYPD,202506812203217,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
01/13/2025,NY,KINGS,ANTI-JEWISH,NYPD,202507012103617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/26/2025,NY,KINGS,ANTI-JEWISH,NYPD,202507112232117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/27/2025,NY,KINGS,ANTI-JEWISH,NYPD,202507112234717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
03/15/2025,NY,KINGS,ANTI-JEWISH,NYPD,202507612147817,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
